"Time","Jadavpur","Ballygunge","Rabindra_Sarobar","Bidhannagar","Rabindra_Bharati","Fort_William","Victoria","Kolkata"
"25-08-2022",19.25,NA,12.82,11.92,24.86,17.52,22.43,18.1333333333333
"26-08-2022",26.05,NA,16.52,21.83,34.29,22.09,23.28,24.01
"27-08-2022",28.48,27.04,21.37,19.02,37.06,20.8,25.48,25.6071428571429
"28-08-2022",21.12,18.86,13.63,11.64,22.92,16.13,17.39,17.3842857142857
"29-08-2022",20.94,15.37,11.41,16.54,21.96,13.61,14.67,16.3571428571429
"30-08-2022",14,16.61,8.32,11.78,23.16,12.55,18.67,15.0128571428571
"31-08-2022",12.48,8.78,6.87,10.61,17.51,7.59,13.37,11.03
"01-09-2022",8.28,12.87,4.93,8.15,15.09,7.38,11.86,9.79428571428571
"02-09-2022",9.91,15.26,5.43,8.82,11.71,7.54,16.45,10.7314285714286
"03-09-2022",11.19,14.09,8.86,12.12,25.31,11.2,10.17,13.2771428571429
"04-09-2022",29.65,29.85,22.93,20.12,42.27,26.03,24.23,27.8685714285714
"05-09-2022",26.06,41.61,21.85,19.96,42.24,21.2,17.28,27.1714285714286
"06-09-2022",28.36,43.49,25.47,23.43,33.19,23.91,26.89,29.2485714285714
"07-09-2022",26.22,36.2,18.75,15.79,30.41,22.72,26.07,25.1657142857143
"08-09-2022",10.49,18.99,5.71,7.62,10.05,10.84,8.86,10.3657142857143
"09-09-2022",25.54,29.15,11.23,11.81,20.62,19.01,16.86,19.1742857142857
"10-09-2022",12.82,18.13,7.05,7.37,7.97,11.37,7.4,10.3014285714286
"11-09-2022",11.18,10.39,6.57,4.48,5.76,8.26,6.2,7.54857142857143
"12-09-2022",11.66,13.71,6.67,5.59,6.57,8.23,7.88,8.61571428571429
"13-09-2022",12.66,NA,11.85,4.99,10.7,10.91,11.93,10.5066666666667
"14-09-2022",14.22,20.61,11.97,13.42,23.05,15.07,15.4,16.2485714285714
"15-09-2022",23.15,22.23,16.77,17.37,45.66,18.75,23.5,23.9185714285714
"16-09-2022",24.51,24.68,15.02,16.53,24.52,19.21,17.97,20.3485714285714
"17-09-2022",29.99,29.19,19.99,16.68,31.67,23.96,NA,25.2466666666667
"18-09-2022",26.14,16.59,19.18,22.2,26.86,23.8,26.34,23.0157142857143
"19-09-2022",16.35,10.36,12.84,15.88,18.07,15.84,14.95,14.8985714285714
"20-09-2022",15.43,10.38,10.04,9.71,6.89,12.48,9.63,10.6514285714286
"21-09-2022",17.9,19.15,14.03,15.34,NA,14.1,12.78,15.55
"22-09-2022",20.31,26.42,15.26,18.57,16.23,16.45,15.68,18.4171428571429
"23-09-2022",22.88,25.27,16.92,19.22,31.8,20.93,20.48,22.5
"24-09-2022",22.22,25.12,17.03,19.92,26.08,21.24,19.22,21.5471428571429
"25-09-2022",20.05,21.45,16.82,16.9,NA,18.82,19.19,18.8716666666667
"26-09-2022",23.13,22.29,17.71,21.67,NA,23.51,18.81,21.1866666666667
"27-09-2022",27.73,28.34,29.99,23.63,NA,27.25,26.37,27.2183333333333
"28-09-2022",31.91,35.45,43.13,19.68,NA,30.57,28.55,31.5483333333333
"29-09-2022",46.4,59.65,39.48,26.37,37.9,38.34,46.78,42.1314285714286
"30-09-2022",47.05,45.39,64.84,26.9,36.15,29.04,40.12,41.3557142857143
"01-10-2022",49.1,53.39,43.39,24.5,45.64,29.58,40.2,40.8285714285714
"02-10-2022",27.45,20.17,16.87,15.86,16.05,13.71,18.44,18.3642857142857
"03-10-2022",19.6,15.36,12.6,18.68,13.82,11.17,14.7,15.1328571428571
"04-10-2022",13.5,7.82,5.74,11.04,6.49,5.65,8.42,8.38
"05-10-2022",12.68,11.38,6.03,9.89,6.43,7.44,7.65,8.78571428571429
"06-10-2022",11.41,9.78,5.91,6.16,6.47,6.43,6.6,7.53714285714286
"07-10-2022",14.11,11.15,6.54,13.07,13.37,12.26,11.38,11.6971428571429
"08-10-2022",19.54,15.89,10.3,16.69,16.81,15.99,15.48,15.8142857142857
"09-10-2022",13.62,10.75,8.04,11.17,10.17,9.56,10.03,10.4771428571429
"10-10-2022",15.03,10.34,6.24,8.88,8.3,8.8,9.61,9.6
"11-10-2022",11.85,10.22,6.94,13.51,NA,8.62,8.73,9.97833333333333
"12-10-2022",10.7,10.54,7.28,13.4,11.41,10.27,8.8,10.3428571428571
"13-10-2022",19.65,NA,14.38,16.98,23.87,18.95,19.59,18.9033333333333
"14-10-2022",39.46,NA,26.76,24.87,35.36,25.88,27.86,30.0316666666667
"15-10-2022",42.3,41.98,32.66,25.05,44.52,33.56,36.74,36.6871428571429
"16-10-2022",37.88,45.81,32.79,24.79,40.41,32.59,37.25,35.9314285714286
"17-10-2022",46.12,56.23,40.7,38.49,49.66,43.08,42.77,45.2928571428571
"18-10-2022",53.65,62.11,46.75,55.43,56.96,42.98,47.02,52.1285714285714
"19-10-2022",51.79,65.59,43.14,45.31,65.33,41.3,46.91,51.3385714285714
"20-10-2022",57.03,69.46,47.97,32.67,76,46.86,54.32,54.9014285714286
"21-10-2022",59.9,72.44,49.16,57.48,69.22,44.25,56.17,58.3742857142857
"22-10-2022",51.26,57.58,38.88,43.07,60.52,37.78,46.23,47.9028571428571
"23-10-2022",40.51,52.41,32.54,29.24,57.92,34.9,36.9,40.6314285714286
"24-10-2022",18.87,28.23,12.64,13.26,16.58,20.27,18.3,18.3071428571429
"25-10-2022",29.78,27.81,22.51,22.45,43.48,21.02,18.17,26.46
"26-10-2022",45.83,45.95,30.14,29.57,61.82,33.07,42.76,41.3057142857143
"27-10-2022",64.79,61.91,46.6,62.51,82.61,40.31,81.97,62.9571428571429
"28-10-2022",71.97,76.67,60.71,63.12,95.74,51.58,123.55,77.62
"29-10-2022",72.1,71.27,58.95,81.31,80.34,48.44,91.61,72.0028571428571
"30-10-2022",52.92,61.65,43.06,NA,85.32,40.74,76.69,60.0633333333333
"31-10-2022",49.97,60.98,42.54,NA,51.85,38.12,70.96,52.4033333333333
"01-11-2022",58.15,62.6,44.95,NA,53.83,43.03,81.46,57.3366666666667
"02-11-2022",51.56,52.78,37.62,37.55,70.62,39.62,68.03,51.1114285714286
"03-11-2022",63.7,62.94,49.31,59.05,91.69,42.86,70.66,62.8871428571429
"04-11-2022",80.98,83.29,63.99,84.94,127.4,58.63,97.07,85.1857142857143
"05-11-2022",92.83,96.73,72.64,59.25,123.55,57.29,105.62,86.8442857142857
"06-11-2022",72.15,72.58,55.15,60.31,87.59,53.02,97.88,71.24
"07-11-2022",73.42,70.89,56.7,73.7,98.81,51.48,96.52,74.5028571428571
"08-11-2022",71.75,68.36,57.22,64.51,95.68,48.15,90.93,70.9428571428572
"09-11-2022",85.07,86.04,71.97,64.22,97.11,54.78,114.12,81.9014285714286
"10-11-2022",68.91,76.02,56.07,57.72,75.03,51.13,97.64,68.9314285714286
"11-11-2022",76.32,75.45,69.49,65.93,98.98,50.99,103.37,77.2185714285714
"12-11-2022",98.82,112.21,91.36,90.14,127.07,64.3,143.85,103.964285714286
